Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
calculated measure|հաշվարկված չափում
calculated member|հաշվարկված անդամ
calculator|հաշվիչ
calendar|օրացույց
calendar group|օրացույցների խումբ
Calendar Groups|Օրացույցների խմբեր
calendar item peek|օրացույցի միավորի թռուցքադիտում
calendar list|օրացույցի ցանկ
Calendar peek|Օրացույցի թռուցքադիտում
Calendar Preview|Օրացույցի նախադիտում
Calendar Printing Assistant|Օրացույցի տպման օգնական
calendar program|օրացույց-ծրագիր
Calendar Snapshot|Օրացույցի ճեպապատկեր
calendar view|օրացուցային տեսք
Calendar World Readiness|Օրացույցի միջազգային կարգավորումներ
call|կանչ
call|կանչել
call forwarding|կանչի փոխանցում
call log|զանգերի մատյան
call phones|կանչել հեռախոսներին
call waiting|կանչի սպասում
caller ID|կանչողի ID
caller identification|կանչողի նույնականացում
calling channel|կանչի կապուղի
callout|դրսագիր
Camera|Խցիկ
camera roll|խցիկի շարժ
campaign|արշավ
canary|ապահովիչ
canary value|ապահովիչի արժեք
cancel|չեղարկել
capability|հնարավորություն
CAPI|CAPI
CAPI2|CAPI2
capital letter|գլխատառ
capitalization|գլխատառացում
Capitalization of March and May|Մարտ և Մայիս ամիսների գլխատառացում
capitalized|մեծատառ
CAPS LOCK|CAPS LOCK
CAPS LOCK key|CAPS LOCK ստեղն
caption|խորագիր
captive portal|գրավող կայքէջ
capture device|կորզիչ սարք
carbon copy|պատճեն
card|քարտ
Card & board|Սեղանա- և թղթախաղեր
Card gallery|Քարտերի սրահ
card reader|քարտ ընթերցիչ
card validation code|քարտի ստուգման կոդ
Card Verification Value|CVV կոդ
caret|տանիք
cart|սայլակ
cascading menu|սանդղացանկ
case|հանգամանք
Cashback|Փոխհատույց
Casino|Խաղատուն
cast|հեռարձակել
cast and crew|ստեղծագործական խումբ
Cast to Device|Հեռարձակել սարքում
catalog|գրացուցակ
Categories|Անվանակարգեր
category|անվանակարգ
category axis|անվանակարգերի առանցք
category field|անվանակարգի դաշտ
CBR|համակարգչի հավաքման զեկույց
cc|պատճեն
cc:Mail|պճ. Փոստ
CCM|CCM
CD|CD
CD burner|CD գրանցիչ
CD burner speed|CD գրանցման արագություն
CD player|CD նվագարկիչ
